Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.46495235067118E-07,2.08166817117217E-17,0.044291896112337,0,0,0,0.687244754986377,0.00100078463380536,1.99987466698574E-19,-2.26166332210013E-09,0.00100099520786903,3.57504904883576E-22,0.00114141326109001,0,0,0,0,0,0,package://6DOF/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://6DOF/meshes/base_link.STL,,base-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,4.36749143829795E-07,-0.00185979007227723,0.155943246695216,0,0,0,0.387871527947348,0.000557010613651127,-2.26166332192179E-09,3.18011044568899E-21,0.000166069598266577,-1.40904853622495E-20,0.000567101506856238,0,0,0,0,0,0,package://6DOF/meshes/link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://6DOF/meshes/link1.STL,,link1-1,joint1,Axis_joint1,joint1,continuous,0,0,0.02,0,0,0,base_link,0,0,1,,,,,,,,,,,,
link2,-1.31046280776523E-07,-0.323733657562701,-0.00055802873669894,0,0,0,1.2926925972718,0.0114222430990209,2.24847200834491E-19,2.26166332670682E-09,0.000938178018024431,-6.41315390591335E-19,0.0109765544939151,0,0,0,0,0,0,package://6DOF/meshes/link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://6DOF/meshes/link2.STL,,link2-1,joint2,Axis_joint2,joint2,continuous,0,0,0.159,-1.5708,0,0,link1,0,0,1,,,,,,,,,,,,
link3,-0.0195727059371977,0.0669249662765189,-4.0110631687254E-07,0,0,0,0.371670495939314,0.000205414796141154,-6.0510021513616E-20,-1.05287769509746E-09,0.000416008427720856,-1.94818190228485E-21,0.000371126476942117,0,0,0,0,0,0,package://6DOF/meshes/link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://6DOF/meshes/link3.STL,,link3-1,joint3,Axis_joint3,joint3,continuous,0,-0.505,0,0,0,-1.5708,link2,0,0,1,,,,,,,,,,,,
link4,-1.35785290317214E-07,0.000442177653259705,0.277673205237451,0,0,0,0.806405842635043,0.00468874562362163,-6.37861793821858E-10,-2.44308783345047E-16,0.0046256283430093,-8.51139839660687E-19,0.000322661523787588,0,0,0,0,0,0,package://6DOF/meshes/link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://6DOF/meshes/link4.STL,,link4-1,joint4,Axis_joint4,joint4,continuous,0,0.077,0,-1.5708,0,1.5708,link3,0,0,1,,,,,,,,,,,,
link5,-6.36278525853462E-07,0.0692672151638874,4.02455846426619E-16,0,0,0,0.17209138894609,0.000108530701124314,6.37861794441324E-10,1.45017486767595E-16,5.6635696505909E-05,-4.01105619026938E-21,9.92191045544731E-05,0,0,0,0,0,0,package://6DOF/meshes/link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://6DOF/meshes/link5.STL,,link5-1,joint5,Axis_joint5,joint5,continuous,0,0,0.428,1.5708,0,0,link4,0,0,1,,,,,,,,,,,,
link6,2.26207941267376E-15,-6.10622663543836E-16,0.145417186434244,0,0,0,0.023749432773286,1.61748000798863E-05,-1.26609127288717E-21,-5.06996263101576E-21,7.95702007988634E-06,-3.89698324291266E-21,1.1144885550388E-05,0,0,0,0,0,0,package://6DOF/meshes/link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://6DOF/meshes/link6.STL,,end_effector-1,joint6,Axis_joint6,joint6,continuous,0,0,0,-1.5708,0,0,link5,0,0,1,,,,,,,,,,,,
